 Year,Project, Company, Content_Type, Activity, Region, Program, Language,Amount
2017 - 2018,Canot cocasse III – MN,Manito Cocasse 3 Inc,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,73.000.00
2017 - 2018,Comment devenir un adulte II – MN,CDUA 2 Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,35.966.00
2017 - 2018,Malédiction de Jonathan Plourde (La) – MN,7882939 Canada inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,100.046.00
2017 - 2018,Terre en nous (La) – MN,Manito TEN Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,39.000.00
2017 - 2018,Enragés du ring (Les) – MN,7810750 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,38.637.00
2017 - 2018,Fliptubeur II,L'Office des télécommunications éducatives de langue française de l'Ontario,Rich Interactive Media,Production,Ontario,Francophone Minority,French,2.368.00
2017 - 2018,Suivez le guide III – MN,Balestra interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,73.955.00
2016 - 2017,Siège (Le) – MN,688948 N.B. inc,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,75.000.00
2016 - 2017,Balade à Toronto IV- MN,Machine Gum Interactif inc.,Rich Interactive Media,Production,Toronto,Francophone Minority,French,127.341.00
2016 - 2017,Îles de l’Atlantique (Les) II – MN,Productions Les Iles II Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,37.499.00
2016 - 2017,Chacun sa route II – MN,Les Productions CSR-2 Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,37.500.00
2016 - 2017,Hors Circuits II – Légendes de la côte – MN,Hors Circuits Saison 2 Inc.,Rich Interactive Media,Production,Newfoundland & Labrador,Francophone Minority,French,17.219.00
2016 - 2017,Trajectoires IV – MN,3291627 Nova Scotia Limited,Rich Interactive Media,Production,Nova Scotia,Francophone Minority,French,59.980.00
2016 - 2017,Canot Cocasse II – MN,Manito Cocasse 2 inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,70.000.00
2016 - 2017,Choc des bolides (Le) I – MN,7159773 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,39.615.00
2016 - 2017,Comment devenir un adulte I – MN,CDUA 1 Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,44.738.00
2016 - 2017,Vie Made In Canada (Ma) – MN,Machine Gum Interactif inc.,Rich Interactive Media,Production,Toronto,Francophone Minority,French,95.945.00
2016 - 2017,Jeune et Franco I – MN,606913 N.B. Ltée,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,101.500.00
2016 - 2017,Suivez le guide – MN,Balestra interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,73.749.00
2016 - 2017,Tournée C’est FL!PÉ – MN,TFO,Rich Interactive Media,Production,Toronto,Francophone Minority,French,135.783.00
2016 - 2017,BRBR V – MN,TFO,Rich Interactive Media,Production,Toronto,Francophone Minority,French,224.323.00
2016 - 2017,Dans l’ombre de II – MN,Balestra interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,39.938.00
2016 - 2017,Terres d’exploration II – MN,Les Productions Chinook 2 Inc.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,27.800.00
2016 - 2017,Agrofun – MN,690100 NB Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,107.500.00
2015 - 2016,Amélie et compagnie! I – MN (application),9051040 Canada inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,68.476.00
2015 - 2016,Grande traversée (La) I – MN,LGT Manitoba Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,123.039.00
2015 - 2016,Balade à Toronto III – MN,Machine Gum Interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,78.009.00
2015 - 2016,J’habite ici II – MN,7810750 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,45.000.00
2015 - 2016,Trajectoires III – MN,3291627 Nova Scotia Limited,Rich Interactive Media,Production,Nova Scotia,Francophone Minority,French,46.381.00
2015 - 2016,Canot Cocasse I – MN,Manito Cocasse Inc,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,144.000.00
2015 - 2016,Clan (Le) II – MN,Le Clan Acadie Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,64.926.00
2015 - 2016,nous le monde ! – MN,7284098 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,84.000.00
2015 - 2016,Chacun sa route – MN,Les Productions CSR inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,57.653.00
2015 - 2016,Pour l’amour du country XIV – MN,3286993 N.S. Ltd.,Rich Interactive Media,Production,Nova Scotia,Francophone Minority,French,52.375.00
2015 - 2016,Souhait d’Augustine (Le) – MN,WFI 2 Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,9.647.00
2015 - 2016,Agrofolie II – MN,675875 NB Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,60.300.00
2015 - 2016,Galala II – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,47.432.00
2015 - 2016,BRBR IV-MN,TFO,Rich Interactive Media,Production,Ontario,Francophone Minority,French,279.226.00
2015 - 2016,Guide du Guide – MN,Balestra interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,65.000.00
2015 - 2016,Zachary Richard; toujours batailleur-MN,606913 N.B. Ltée,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,32.629.00
2014 - 2015,Trajectoires II – MN,Connections Productions Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,44.972.00
2014 - 2015,Balade à Toronto II – MN,Machine Gum Interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,83.646.00
2014 - 2015,St-Nickel – MN,8653909 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,69.750.00
2014 - 2015,Harfang des neiges; nord et sud – MN,606913 N.B. Ltée,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,15.085.00
2014 - 2015,les de l’Atlantique (Les) – MN,Productions Les Iles Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,71.864.00
2014 - 2015,Garde-manger – MN,7329709 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,56.250.00
2014 - 2015,Clan (Le) – MN,Productions Le clan inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,196.497.00
2014 - 2015,Toi et Moi II – MN,8372870 Canada inc,Rich Interactive Media,Production,Ontario,Francophone Minority,French,75.000.00
2014 - 2015,Au Coeur du Yukon – MN,Manito HDSB Inc.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,60.000.00
2014 - 2015,Entre chiens et loups: La course du Yukon Quest – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,45.000.00
2014 - 2015,Galala I – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,45.000.00
2013 - 2014,5e Élément (Le) I – MN,673709 NB Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,150.000.00
2013 - 2014,Agrofolie I – MN,673818 NB Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,33.000.00
2013 - 2014,Sur la route des jardins – MN,LES PRODUCTIONS JARDINS INC,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,38.450.00
2013 - 2014,Pour l’amour du Country XII – MN,Connections Productions Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,32.460.00
2013 - 2014,Rêve de Champlain (Le) – iPad,8766118 Canada Inc,Rich Interactive Media,Production,Ontario,Francophone Minority,French,179.000.00
2013 - 2014,Qu’est-ce qu’on sauve cette semaine? – MN,Productions Testa inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,93.750.00
2013 - 2014,Droit comme un F,Productions Testa inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,199.000.00
2013 - 2014,J’habite ici – MN,7284098 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,26.513.00
2013 - 2014,Trajectoires – MN,Connections Productions Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,33.000.00
2012 - 2013,Ambassades (Les) – MN,Balestra interactif inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,27.500.00
2012 - 2013,Portée des mots (La) II – MN,8371687 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,65.851.00
2012 - 2013,Toi et moi; malgré tout (MN),8372870 Canada inc,Rich Interactive Media,Production,Ontario,Francophone Minority,French,84.365.00
2012 - 2013,Moi; bête curieuse – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,31.591.00
2012 - 2013,Apprendre et entreprendre-MN,606913 N.B. Ltée,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,200.000.00
2012 - 2013,Tournée des cafés (La) – MN,Zazie Films Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,9.000.00
2012 - 2013,Franco-Boom en Alberta-MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,42.416.00
2012 - 2013,Fransas quoi?! – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,41.783.00
2011 - 2012,Inimaginables – MN,Connections Productions Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,25.000.00
2011 - 2012,Ottawa Underground – MN,7284098 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,48.772.00
2011 - 2012,Yukon parle français – MN,TIGUIDOU MEDIA LTD.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,32.959.00
2011 - 2012,Eaux troubles du crime VI (blog) – MN,666765 BC Ltd.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,9.999.00
2011 - 2012,Monde à l’envers (Le) – MN,7883579 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,4.944.00
2011 - 2012,Les Voix humaines (Les) II – MN,7645465 Canada inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,22.208.00
2011 - 2012,Bleus de Ramville (Les) – MN,7548885 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,32.917.00
2011 - 2012,l’an vert – MN,Red Letter Films Media Ltd.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,26.960.00
2011 - 2012,Amalgame – MN,Les Productions Rivard Projets Consolidés Inc,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,30.000.00
2011 - 2012,Pour l’Amour du Country II -MN,Connections Productions Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,26.000.00
2011 - 2012,Halifax; mémoire vivante du Titanic – MN,606913 N.B. Ltée,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,40.219.00
2010 - 2011,Plaines en musique (Les) – MN,Les Productions Rivard Projets Consolidés Inc,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,4.000.00
2010 - 2011,Eaux troubles du crime V MN,666765 BC Ltd.,Rich Interactive Media,Production,British Columbia,Francophone Minority,French,7.691.00
2010 - 2011,Rural.com,655103 NB inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,12.400.00
2010 - 2011,Cano – Le dernier gros show – MN,7755171 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,44.432.00
2010 - 2011,Pour un soir seulement – MN,LES PRODUCTIONS POUR UN SOIR V INC.,Rich Interactive Media,Production,Manitoba,Francophone Minority,French,39.700.00
2010 - 2011,Ramville – MN,7548885 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,40.000.00
2010 - 2011,Pour l’amour du country – MN,Connections Productions Inc. (doublon),Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,30.000.00
2010 - 2011,Dans ma cour – MN,616585 N.B. Inc.,Rich Interactive Media,Production,New Brunswick,Francophone Minority,French,75.000.00
2010 - 2011,Motel Monstre (MN),7617763 Canada Inc.,Rich Interactive Media,Production,Ontario,Francophone Minority,French,75.000.00
2019 - 2020,The Dollhouse,Zazie Films Inc.,Rich Interactive Media,Prototyping,Toronto,Canada-Luxembourg Co-Development and Co-Production Incentive,French,47.450.00
2019 - 2020,Forêts éclair,Productions Testa inc.,Rich Interactive Media,Prototyping,Toronto,Conceptualization,French,12.000.00
2019 - 2020,Voyages extraordinaires (Les),Jane Losa Films Inc.,Rich Interactive Media,Prototyping,Montreal,Conceptualization,French,12.000.00
2019 - 2020,XR-01,9289-7081 Québec inc.,Rich Interactive Media,Prototyping,Quebec,Conceptualization,French,12.000.00
2017 - 2018,Policier Autochtone – MN,Kassiwi Média Inc.,Rich Interactive Media,Production,Montreal,Aboriginal,French,75.750.00
2016 - 2017,ALPHA & OMÉGA,URBANIA Studios de Création Inc.,Rich Interactive Media,Production,Quebec,Innovation,French,534.396.00
2016 - 2017,Little Lords of Twilight: Nights & Days of Zikverländ- A2P,9082-8773 Québec Inc.,Rich Interactive Media,Post-Production,Quebec,Accelerator,French,30.000.00
2016 - 2017,Les Coulisses de l’Animation- Canada/Wallonie,Di-o-Matic Inc.,Rich Interactive Media,Production,Montreal,Canada-Wallonia Digital Media Incentive,French,250.000.00
2015 - 2016,Stylekick: fashion inspiration; style and personal outfit shopping – A3P,Stylekick Inc.,Rich Interactive Media,Post-Production,Ontario,Accelerator,French,30.000.00
2015 - 2016,Anna – A3P,Amythos Kngfu Inc.,Rich Interactive Media,Post-Production,Ontario,Accelerator,French,30.000.00
2014 - 2015,18 Fugitives (Les) – MN,Intuitive Pictures II Inc.,Rich Interactive Media,Production,Quebec,Digital Media Co-production-Convergent,French,43.559.00
2014 - 2015,LOOV,ZONE3-XXXIII Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,751.904.00
2014 - 2015,IoTheatre – 3PA,SAGAFILM Productions Inc.,Rich Interactive Media,Post-Production,Quebec,Accelerator,French,30.000.00
2014 - 2015,Mon ami Bulle,Télé-Québec,Rich Interactive Media,Production,Quebec,Experimental,French,733.941.00
2013 - 2014,GameNGive.com – A3P,Jouer Donner Inc. / Game N Give Inc.,Rich Interactive Media,Post-Production,Quebec,Accelerator,French,30.000.00
2013 - 2014,Mon ami Bulle – A3P,Télé-Québec,Rich Interactive Media,Post-Production,Quebec,Accelerator,French,30.000.00
2013 - 2014,Apocalypse 10 destins – MN,Zenith ABC Inc.,Rich Interactive Media,Production,Quebec,Digital Media Co-production-Convergent,French,100.000.00
2013 - 2014,Anna,Amythos Kngfu Inc.,Rich Interactive Media,Production,Ontario,Experimental,French,927.872.00
2013 - 2014,Anna,Amythos Kngfu Inc.,Rich Interactive Media,Production,Ontario,Digital Media Co-production-Experimental,French,100.000.00
2012 - 2013,Artisans du changement III – MN,PVP-Films Inc.,Rich Interactive Media,Versioning,Quebec,Versioning,French,14.321.00
2011 - 2012,Artisans du changement II – MN,PVP-Films Inc.,Rich Interactive Media,Versioning,Quebec,Versioning,French,5.647.00
2011 - 2012,Judas (Le),Couzin Films Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,648.000.00
2011 - 2012,Boîte à Malle (La),Turbulent Media Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,396.921.00
2011 - 2012,Disparus,DISPARUS.TV inc.,Rich Interactive Media,Production,Quebec,Experimental,French,702.957.00
2011 - 2012,milie,Images Films inc.,Rich Interactive Media,Production,Quebec,Experimental,French,897.650.00
2011 - 2012,Hors d’ondes,Turbulent Media Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,320.000.00
2010 - 2011,Enfants de la Bolduc (Les),Lusio Films Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,525.000.00
2010 - 2011,UNIQUE,Unique Microguides Inc,Rich Interactive Media,Production,Quebec,Experimental,French,576.123.00
2010 - 2011,Guide de votre vie (Le),ZONE3-XXXIII Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,511.973.00
2010 - 2011,jentreprends.ca,Absolunet Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,251.555.00
2010 - 2011,Zieuter.TV,Attraction Images Productions inc.,Rich Interactive Media,Production,Quebec,Experimental,French,264.722.00
2010 - 2011,Outil de suivi parental et générateur de jeux,Télé-Québec,Rich Interactive Media,Production,Quebec,Experimental,French,108.240.00
2010 - 2011,Fréquences,Tungsten Original Inc.,Rich Interactive Media,Production,Quebec,Experimental,French,221.055.00
2010 - 2011,Burquette sur le web,Attraction Images inc.,Rich Interactive Media,Production,Quebec,Experimental,French,397.017.00
2018 - 2019,-22.7,Productions Figure 55 Inc.,Rich Interactive Media,Development,Quebec,Canada-Wallonia Digital Media Incentive,French,115.000.00
2018 - 2019,Application interactive innovante Cracké Wacky ISland,Productions Squeeze Inc.,Rich Interactive Media,Development,Quebec,Canada-Luxembourg Co-Development and Co-Production Incentive,French,69.476.00
2016 - 2017,passagers (Les),Couzin Films Inc.,Rich Interactive Media,Development,Quebec,Innovation,French,120.294.00
2014 - 2015,Kinshasa Now,Kondololé Films Inc.,Rich Interactive Media,Development,Quebec,Canada-Wallonia Digital Media Incentive,French,30.000.00
2014 - 2015,Work in Progress – tout salaire mérite-t-il travail?,Kung Fu Numerik Inc.,Rich Interactive Media,Development,Quebec,Canada-Wallonia Digital Media Incentive,French,40.000.00
2014 - 2015,Yogimos!,Atelier Rocoto Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,80.895.00
2014 - 2015,Yogimos!,Atelier Rocoto Inc.,Rich Interactive Media,Development,Quebec,Digital Media Co-production-Experimental,French,50.000.00
2014 - 2015,Théâtre du Mercure,URBANIA Studios de Création Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,77.148.00
2014 - 2015,120 BPM – MN,Les Productions Rivard Inc.,Rich Interactive Media,Development,Manitoba,Francophone Minority,French,11.250.00
2013 - 2014,Vitamine C I – Le site,4412826 Canada inc. (faisant affaire sous Nish Télévision),Rich Interactive Media,Development,Quebec,Development Envelopes,French,2.500.00
2013 - 2014,Fou des oiseaux – MN,Productions des Années lumière inc.,Rich Interactive Media,Development,Quebec,Development Envelopes,French,3.000.00
2013 - 2014,Micro Faune I – Application,Frima Studio Inc.,Rich Interactive Media,Development,Quebec,Development Envelopes,French,1.500.00
2013 - 2014,a Clic ! I MN,9292-2269 Québec Inc.,Rich Interactive Media,Development,Quebec,Development Envelopes,French,2.000.00
2013 - 2014,True Love I – MN,QuébéComm Télévision Inc.,Rich Interactive Media,Development,Quebec,Development Envelopes,French,1.000.00
2013 - 2014,IoTheatre,SAGAFILM Productions Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,500.000.00
2013 - 2014,Récréation (La) – MN,Michel Gauthier Productions Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,400.00.
2013 - 2014,Espace d’une chanson (L’) – MN,choCité Productions Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,5.000.00
2013 - 2014,TDAHmonamour.com,Lamarche à Vélo productions inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,3.750.00
2013 - 2014,Canot Cocasse I – MN,Manito Média Inc.,Rich Interactive Media,Development,Manitoba,Francophone Minority,French,750.00.
2013 - 2014,Rêve de Champlain (Le) – MN,Slalom Productions Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,12.500.00
2013 - 2014,Mon ami Bulle v2,Télé-Québec,Rich Interactive Media,Development,Quebec,Experimental,French,266.059.00
2012 - 2013,Parent un jour; parent toujours III – MN,PVP doc II INC.,Rich Interactive Media,Development,Quebec,Development Envelopes,French,4.000.00
2012 - 2013,Kaléidoscope – MN,Carte Blanche Films Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,2.500.00
2012 - 2013,Moodtrails,Turbulent Media Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,96.656.00
2012 - 2013,Prototype d’application interactive Montréal,Guides De Voyage Ulysse Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,102.379.00
2012 - 2013,Anna,Kung Fu Numerik Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,72.128.00
2011 - 2012,Roland et Monsieur Crapaud – MN,Bellefeuille Production Ltée,Rich Interactive Media,Development,New Brunswick,French Selective Development,French,16.980.00
2011 - 2012,Grand-Pré – MN,Phare-Est Média Inc.,Rich Interactive Media,Development,New Brunswick,French Selective Development,French,1.500.00
2011 - 2012,Univers de Paul Leblanc (L’) – MN,Productions du milieu inc.,Rich Interactive Media,Development,New Brunswick,French Selective Development,French,1.500.00
2011 - 2012,Musée pour l’humanité (Un) – MN,Les Productions Rivard Inc.,Rich Interactive Media,Development,Manitoba,Francophone Minority,French,1.500.00
2011 - 2012,Rêver – MN,Balestra Productions Inc.,Rich Interactive Media,Development,Ontario,French Selective Development,French,5.650.00
2011 - 2012,Liberté (La) – MN,Les Productions Rivard Inc.,Rich Interactive Media,Development,Manitoba,Francophone Minority,French,1.500.00
2011 - 2012,Ambassades – MN,Balestra Productions Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,1.500.00
2011 - 2012,Rendez-vous Web,7810750 Canada Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,2.500.00
2011 - 2012,Olyphant-Forgets (Les) – MN,Slalom Productions Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,2.700.00
2011 - 2012,Trois boxeuses canadiennes pour les Olympiques – MN,Médiatique Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,1.500.00
2011 - 2012,Dernier âge (Le) – MN,Direction Productions Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,5.000.00
2011 - 2012,Sortir du bois! – MN,Arts et Images productions inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,1.500.00
2011 - 2012,Révolution agricole…urbaine! (Une) – MN,Arts et Images productions inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,1.500.00
2011 - 2012,Gène d’espoir – MN,Tortuga Films Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,1.500.00
2011 - 2012,Fransas Quoi? – MN,Red Letter Films Ltd.,Rich Interactive Media,Development,British Columbia,Francophone Minority,French,1.500.00
2011 - 2012,Poutine western – MN,Red Letter Films Ltd.,Rich Interactive Media,Development,British Columbia,Francophone Minority,French,1.500.00
2011 - 2012,Parlez-moi d’humour – MN,QuébéComm Télévision Inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,1.500.00
2011 - 2012,Hippocrate – MN,Tortuga Films Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,1.500.00
2011 - 2012,Curieux métiers – MN,Productions Nova Média Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,1.500.00
2011 - 2012,Vallée (La),Les Productions Mozus Productions Inc.,Rich Interactive Media,Development,New Brunswick,Experimental,French,97.500.00
2011 - 2012,Covoiturage,Item 7 Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,102.630.00
2011 - 2012,Duplex,Attraction Images inc.,Rich Interactive Media,Development,Quebec,Experimental,French,75.000.00
2011 - 2012,Gais des villes; gais des champs – MN,Télé-Boréale Productions inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,1.500.00
2010 - 2011,REC – Sur la trail,Productions l'unité centrale inc.,Rich Interactive Media,Development,Quebec,Experimental,French,105.200.00
2010 - 2011,Trace (La) – MN,Phare-Est Média Inc.,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,480.00.
2010 - 2011,Yukon parle français! – MN,Red Letter Films Ltd.,Rich Interactive Media,Development,British Columbia,Francophone Minority,French,7.957.00
2010 - 2011,Halifax; la mémoire vivante du Titanic – site web,Bellefeuille Production Ltée,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,9.000.00
2010 - 2011,milie,Images Films inc.,Rich Interactive Media,Development,Quebec,Experimental,French,102.350.00
2010 - 2011,Disparus,DISPARUS.TV inc.,Rich Interactive Media,Development,Quebec,Experimental,French,105.580.00
2010 - 2011,Belle-Baie V – MN,Planète Belle Baie II Productions Inc.,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,3.000.00
2010 - 2011,Ottawa Underground – MN,7284098 Canada Inc.,Rich Interactive Media,Development,Ontario,French Selective Development,French,2.500.00
2010 - 2011,Seins à louer – MN,PVP Monde inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,2.250.00
2010 - 2011,Fenetresurcorps.com,Productions Nova Média Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,2.500.00
2010 - 2011,Blueberry Power: Mythe ou réalité (Le) – MN,HM2 Productions Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,2.500.00
2010 - 2011,Et si je décrochais un diplôme – MN,HM2 Productions Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,2.500.00
2010 - 2011,Porteurs d’héritage – MN,K8e K8e Productions artistiques et culturelles inc.,Rich Interactive Media,Development,Quebec,Aboriginal,French,2.000.00
2010 - 2011,Forillon: Derrière le Vide – MN,GROUPE PVP INC.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,2.250.00
2010 - 2011,Motel monstre II – MN,Slalom Productions Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,5.000.00
2010 - 2011,Honneur se lave-t-il plus blanc dans le crime? (L’) – MN,Médiatique Inc.,Rich Interactive Media,Development,Ontario,Francophone Minority,French,2.500.00
2010 - 2011,Sombres histoires d’héritage – MN,Productions Tout Écran Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,185.00.
2010 - 2011,Alouette affolée (L’) – MN,GROUPE PVP INC.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,2.247.00
2010 - 2011,Bottines et casquettes – MN,Productions Tout Écran Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,140.00.
2010 - 2011,Enfants du B.B. (Les) – MN,Bellefeuille Production Ltée,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,13.500.00
2010 - 2011,Baie en Joie (La) – MN,Les Productions Mozus Productions Inc.,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,1.000.00
2010 - 2011,Histoire des infirmières (L’) – MN,Productions Tout Écran Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,1.000.00
2010 - 2011,l’an vert – MN,Red Letter Films Ltd.,Rich Interactive Media,Development,British Columbia,Francophone Minority,French,4.790.00
2010 - 2011,Panseurs (Les) – MN,Productions Tout Écran Inc.,Rich Interactive Media,Development,Quebec,Quebec French Regional Development,French,544.00.
2010 - 2011,BonneAlimentation.com,Net2 Evolution inc.,Rich Interactive Media,Development,Quebec,Experimental,French,188.584.00
2010 - 2011,Enfants de la Bolduc (Les),Lusio Films Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,65.906.00
2010 - 2011,Ma vie en musique,Inpix Media Inc.,Rich Interactive Media,Development,Quebec,Experimental,French,77.292.00
2010 - 2011,Sur ma planète – MN,Les Productions Mozus Productions Inc.,Rich Interactive Media,Development,New Brunswick,Francophone Minority,French,25.125.00
2010 - 2011,Sedna.tv (site web de Sedna autour du monde),Glacialis Productions Inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,20.800.00
2010 - 2011,Mission biodiversité en ligne,Glacialis Productions Inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,20.800.00
2010 - 2011,1000 jours pour la planète – MN,Glacialis Productions Inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,26.000.00
2010 - 2011,Dictature affective – MN,PVP Monde inc.,Rich Interactive Media,Development,Quebec,French Selective Development,French,1.250.00
