Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
I Shall Not Hate,11746685 Canada inc.,2020 - 2021,N/A,$368;414.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Everest Dark,Merit Motion Pictures Inc.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Manitoba,English POV,Decision,English,N/A
Garbage! 2: The Revolution Starts With You,1552657 Ontario Ltd.,2020 - 2021,N/A,$270;058.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
For the Good of Mankind,1552657 Ontario Ltd.,2020 - 2021,N/A,$315;554.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Red Stars,Iceball Inc.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Buffy Sainte-Marie: Power in the Blood,White Pine Pictures Inc.,2020 - 2021,N/A,$360;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Beyond Bollywood,Cinevedas Inc.,2020 - 2021,N/A,$70;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Lhasa,Metafilms Inc.,2020 - 2021,N/A,$280;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Hackstar in Exile,CAVE 7 PRODUCTIONS INC.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Wilfred Buck,DOOR NUMBER 3 PRODUCTIONS INC.,2020 - 2021,N/A,$370;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Dear Audrey,Cineflix (Dear Audrey) Inc.,2020 - 2021,N/A,$100;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Disappearing Insects,Disappearing Insects Productions Inc.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Coven,Storyline Entertainment Inc.,2020 - 2021,N/A,$371;200.00,N/A,Production,Documentary,N/A,N/A,Toronto,English POV,Decision,English,N/A
Grizzly Truth (The),Grizz Films Inc,2020 - 2021,N/A,$250;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,English POV,Decision,English,N/A
Atomic Reaction,Atomic Reaction Films Inc.,2020 - 2021,N/A,$164;774.00,N/A,Production,Documentary,N/A,N/A,Ontario,English POV,Decision,English,N/A
Bones of Crows,Ayasew Ooskana Pictures Inc.,2020 - 2021,N/A,$750;000.00,N/A,Production,Drama,N/A,N/A,British Columbia,Indigenous,Decision,English,N/A
Nations At War Season III,Chasing Pictures Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Indigenous,Decision,English,N/A
Tarriaksuit (Shadow People),Kingulliit Productions Inc.,2020 - 2021,N/A,$750;000.00,N/A,Production,Drama,N/A,N/A,Nunavut,Indigenous,Decision,Indigenous,N/A
Reclaim,7th Gen Season One Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Indigenous,Decision,English,N/A
Red Earth Uncovered IV,Sagacious Media Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Alberta,Indigenous,Decision,Indigenous,N/A
Spirit of Birth,Rezolution Pictures International Inc.,2020 - 2021,N/A,$379;636.00,N/A,Production,Documentary,N/A,N/A,Montreal,Indigenous,Decision,English,N/A
Merchants of the Wild III,Merchants of the Wild 3 Corp.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Indigenous,Contracted,Indigenous,N/A
Nunami Piqatigiit: Tundra Friends I,Tundra Friends S1 Inc.,2020 - 2021,N/A,$703;648.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Indigenous,Decision,Indigenous,N/A
Michif Country II,Manito Média Inc.,2020 - 2021,N/A,$415;300.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Indigenous,Decision,Indigenous,N/A
Aeksia,Strawberry Fields Interactive Inc.,2020 - 2021,Rich Interactive Media,$199;485.00,N/A,Development,N/A,Application,1,British Columbia,Prototyping,Decision,English,1
Laissez-nous raconter I,Terre Innue Productions Inc,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Indigenous,Decision,Indigenous,N/A
Pour toi flora I,7059213 Canada Inc.,2020 - 2021,N/A,$750;000.00,N/A,Production,Drama,N/A,N/A,Quebec,Indigenous,Decision,French,N/A
Crazy Like a Lynx II,Inter-INDigital Entertainment Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Indigenous,Decision,Indigenous,N/A
THE SECRET HISTORY OF-The Wild West Season II,SHO Cycle 2 Ltd.,2020 - 2021,N/A,$550;000.00,N/A,Production,Documentary,N/A,N/A,Alberta,Indigenous,Decision,English,N/A
Dungeons,Jeux Borealys Inc.,2020 - 2021,Game,$250;000.00,N/A,Development,N/A,Downloadable,1,Quebec,Prototyping,Decision,Bilingual,1
Advanced Video Enhancement (Mise en Marché),Impressview inc.,2020 - 2021,Software,$400;000.00,N/A,Marketing,N/A,Physical Support,1,Quebec,Limited Marketing,Decision,Bilingual,1
Not a Farm Game MMOVR Mobile,Red Iron Labs Ltd.,2020 - 2021,Game,$178;290.00,N/A,Development,N/A,Downloadable,1,Alberta,Prototyping,Decision,English,1
Dpac/Kino,9333339 Canada Inc.,2020 - 2021,Software,$249;000.00,N/A,Development,N/A,Application,1,Quebec,Prototyping,Decision,Bilingual,1
The Longest Goodbye,Occupied VR Inc.,2020 - 2021,Rich Interactive Media,$250;000.00,N/A,Development,N/A,Downloadable,1,Ontario,Prototyping,Decision,Bilingual,1
Cœurs de givre,4482026 Canada Inc.,2020 - 2021,Game,$250;000.00,N/A,Development,N/A,Application,1,Quebec,Prototyping,Decision,Bilingual,1
Cali’s Lil Monster School,Creative Hewman Inc,2020 - 2021,Game,$250;000.00,N/A,Development,N/A,Application,1,Ontario,Prototyping,Decision,English,1
Gilgamesh,Transitional Forms,2020 - 2021,Software,$114;000.00,N/A,Development,N/A,Application,1,Ontario,Prototyping,Decision,English,1
Doomsday Brothers VR,Portfolio Entertainment Inc.,2020 - 2021,Game,$150;000.00,N/A,Development,N/A,Downloadable,1,Ontario,Prototyping,Decision,English,1
Sky of Tides (episodes 1-9),Lofty Sky Entertainment Inc.,2020 - 2021,Game,$294;000.00,N/A,Marketing,N/A,Application,1,Ontario,Limited Marketing,Decision,English,1
Baleinopolis (titre de travail),Creo Inc.,2020 - 2021,Rich Interactive Media,$250;000.00,N/A,Development,N/A,Application,1,Quebec,Prototyping,Decision,Bilingual,1
Spacewalk: The Virtual Experience,2568749 Ontario LTD.,2020 - 2021,Game,$200;000.00,N/A,Marketing,N/A,Downloadable,1,Ontario,Limited Marketing,Decision,English,1
Cooking Knight,Juicy Beast Studio Ltd.,2020 - 2021,Game,$250;000.00,N/A,Development,N/A,Downloadable,1,Quebec,Prototyping,Decision,Bilingual,1
Trails Of Our Ancestors: Interactive,Helios Graphic Design Inc.,2020 - 2021,Rich Interactive Media,$36;850.00,N/A,Development,N/A,Website,1,Ontario,Prototyping,Decision,English,1
Tabletop Stories: Interactive Holographic Stories App,TabletopStories,2020 - 2021,Rich Interactive Media,$249;900.00,N/A,Development,N/A,Application,1,Ontario,Prototyping,Decision,Bilingual,1
Mad Devils,Itzy Interactive Inc.,2020 - 2021,Game,$217;648.00,N/A,Marketing,N/A,Downloadable,1,Alberta,Limited Marketing,Decision,English,1
Jacob’s Journey (working title),Tribe of Pan Inc.,2020 - 2021,Rich Interactive Media,$186;420.00,N/A,Development,N/A,Application,1,Ontario,Prototyping,Decision,English,1
KAIJENGA,Dark Slope Studios Inc.,2020 - 2021,Rich Interactive Media,$200;000.00,N/A,Development,N/A,Downloadable,1,Ontario,Prototyping,Decision,English,1
VR Artist Toolkit,8288224 Canada Inc. (e.d.Films),2020 - 2021,Software,$163;800.00,N/A,Development,N/A,Downloadable,1,Quebec,Prototyping,Decision,Bilingual,1
Mind Breaker,Lucid Dreams Studio Inc.,2020 - 2021,Game,$219;000.00,N/A,Development,N/A,Downloadable,1,Quebec,Prototyping,Decision,Bilingual,1
Les Beaulieu,Papier Culte Inc.,2020 - 2021,Game,$249;750.00,N/A,Development,N/A,Application,1,Quebec,Prototyping,Decision,Bilingual,1
Lipxync.com,Di-o-Matic Inc.,2020 - 2021,Rich Interactive Media,$250;000.00,N/A,Development,N/A,Website,1,Quebec,Prototyping,Decision,English,1
The Tragic Kingdom,Only By Midnight Ltd.,2020 - 2021,Game,$238;456.00,N/A,Development,N/A,Downloadable,1,Alberta,Prototyping,Decision,Bilingual,1
Nomad – CG Animation Services Marketplace,Stellar Code Lab Inc.,2020 - 2021,Software,$240;391.00,N/A,Development,N/A,Application,1,British Columbia,Prototyping,Decision,English,1
Assets in Motion,Reel in Motion Inc.,2020 - 2021,Software,$250;000.00,N/A,Development,N/A,Downloadable,1,Quebec,Prototyping,Decision,English,1
Bloodroots: Zaiaku-kan,Papier Culte Inc.,2020 - 2021,Game,$1;041;633.00,N/A,Production,N/A,Application,1,Quebec,Commercial Projects Program,Decision,Bilingual,1
Tidal Shock: First Wave,Moonray Studios Inc.,2020 - 2021,Game,$582;999.00,N/A,Production,N/A,Downloadable,1,Ontario,Commercial Projects Program,Decision,Bilingual,1
NERF Games VR,Secret Location Inc.,2020 - 2021,Game,$1;096;606.00,N/A,Production,N/A,Downloadable,1,Ontario,Commercial Projects Program,Decision,English,1
CodeCast,CodeCast Technologies Inc.,2020 - 2021,Software,$701;670.00,N/A,Production,N/A,Website,1,British Columbia,Commercial Projects Program,Decision,English,1
Zorro: The Chronicles,PVP GAMES INC,2020 - 2021,Game,$1;170;000.00,N/A,Production,N/A,Downloadable,1,Quebec,Commercial Projects Program,Decision,English,1
Battle Rally,Koolhaus Games Inc.,2020 - 2021,Game,$1;072;984.00,N/A,Production,N/A,Downloadable,1,British Columbia,Commercial Projects Program,Decision,Bilingual,1
Turbo Kid,Outerminds Inc.,2020 - 2021,Game,$1;420;000.00,N/A,Production,N/A,Downloadable,1,Quebec,Commercial Projects Program,Decision,Bilingual,1
Féeli Tout I,Les Productions Rivard Inc.,2020 - 2021,N/A,$564;593.00,N/A,Production,Children's & Youth,N/A,1,Manitoba,Francophone Minority,Decision,French,1
Hors Québec II,Les Productions Rivard Inc.,2020 - 2021,N/A,$548;806.00,N/A,Production,Documentary,N/A,1,Manitoba,Francophone Minority,Decision,French,1
Main à la pâte (La) III,Les Productions Rivard Inc.,2020 - 2021,N/A,$262;271.00,N/A,Production,Documentary,N/A,1,Manitoba,Francophone Minority,Decision,French,1
Où vont-ils ? La faune canadienne sous haute surveillance I,Manito Média Inc.,2020 - 2021,N/A,$530;282.00,N/A,Production,Documentary,N/A,1,Manitoba,Francophone Minority,Decision,French,1
Trajectoires VII,3291627 Nova Scotia Limited,2020 - 2021,N/A,$549;650.00,N/A,Production,Documentary,N/A,1,Nova Scotia,Francophone Minority,Decision,French,1
Love et Lajoie I,ATO Media Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Children's & Youth,N/A,1,Ontario,Francophone Minority,Decision,French,1
Mix sonore II,Mix Sonore Productions Inc.,2020 - 2021,N/A,$402;812.00,N/A,Production,Variety & Performing Arts,N/A,1,Nova Scotia,Francophone Minority,Decision,French,1
Sens du punch III (Le),3313268 Nova Scotia Limited,2020 - 2021,N/A,$332;766.00,N/A,Production,Documentary,N/A,1,Nova Scotia,Francophone Minority,Decision,French,1
Bouchée du monde I,ATO Media Inc.,2020 - 2021,N/A,$165;000.00,N/A,Production,Children's & Youth,N/A,1,Ontario,Francophone Minority,Decision,French,1
Vote Pop,10887684 Canada Inc.,2020 - 2021,N/A,$147;601.00,N/A,Production,Documentary,N/A,1,Toronto,Francophone Minority,Decision,French,1
Paris Paris I,Zazie Films Inc.,2020 - 2021,N/A,$1;200;000.00,N/A,Production,Drama,N/A,1,Toronto,Francophone Minority,Decision,French,1
À la valdrague IV,716077 NB Inc,2020 - 2021,N/A,$333;210.00,N/A,Production,Drama,N/A,1,New Brunswick,Francophone Minority,Decision,French,1
C’est le temps des fautes !,716036 NB Inc.,2020 - 2021,N/A,$66;212.00,N/A,Production,Variety & Performing Arts,N/A,1,New Brunswick,Francophone Minority,Decision,French,1
Makinium II,11605232 Canada Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Children's & Youth,N/A,1,Ontario,Francophone Minority,Decision,French,1
Guide d’aventures V,10865656 Canada Inc.,2020 - 2021,N/A,$413;782.00,N/A,Production,Documentary,N/A,1,Ontario,Francophone Minority,Decision,French,1
Roller derby,606913 N.B. Ltée,2020 - 2021,N/A,$92;686.00,N/A,Production,Documentary,N/A,1,New Brunswick,Francophone Minority,Decision,French,1
Comment devenir adulte V,Wookey Films Inc.,2020 - 2021,N/A,$78;147.00,N/A,Production,Children's & Youth,N/A,1,Manitoba,Francophone Minority,Decision,French,1
Vieillir à tout prix,7284098 Canada Inc.,2020 - 2021,N/A,$40;547.00,N/A,Production,Documentary,N/A,1,Ontario,Francophone Minority,Decision,French,1
FLIPPONS,L'Office des télécommunications éducatives de langue française de l'Ontario,2020 - 2021,N/A,$433;593.00,N/A,Production,Variety & Performing Arts,N/A,1,Toronto,Francophone Minority,Decision,French,1
Minivers III,L'Office des télécommunications éducatives de langue française de l'Ontario,2020 - 2021,N/A,$550;000.00,N/A,Production,Children's & Youth,N/A,1,Toronto,Francophone Minority,Decision,French,1
VideoViews Production,MoreIdeas Inc.,2020 - 2021,Software,$975;000.00,N/A,Production,N/A,Website,1,Quebec,Innovation,Decision,Bilingual,1
Mouse & Crane’s Harbour Adventures – Switch Game & Labo,Tobo Inc.,2020 - 2021,Game,$293;370.00,N/A,Production,N/A,Downloadable,1,Quebec,Innovation,Decision,Bilingual,1
Survivorman VR: The Descent,Cream Digital Inc.,2020 - 2021,Rich Interactive Media,$952;500.00,N/A,Production,N/A,Application,1,Ontario,Innovation,Decision,English,1
THE ROAMING,Normal Studio Inc.,2020 - 2021,Rich Interactive Media,$350;000.00,N/A,Production,N/A,Physical Support,1,Quebec,Innovation,Decision,Bilingual,1
Echo Generation,Cococucumber Inc.,2020 - 2021,Game,$341;817.00,N/A,Production,N/A,Downloadable,1,Ontario,Innovation,Decision,English,1
Storylines,Tangent Interactive Media Inc.,2020 - 2021,Game,$1;050;000.00,N/A,Production,N/A,Application,1,Ontario,Innovation,Decision,English,1
Procedural and Performance-Drive Real-time Animation System,8288224 Canada Inc. (e.d.Films),2020 - 2021,Software,$903;480.00,N/A,Production,N/A,Downloadable,1,Quebec,Innovation,Decision,Bilingual,1
Glitchhikers 2,Silverstring Media Inc.,2020 - 2021,Game,$540;830.00,N/A,Production,N/A,Downloadable,1,British Columbia,Innovation,Decision,English,1
MAVI : Monde animé végétal et interactif,Les Produits Logiques LopLop Inc.,2020 - 2021,Rich Interactive Media,$300;000.00,N/A,Production,N/A,Application,1,Quebec,Innovation,Decision,Bilingual,1
BoomBox,Cyberspline Games Inc.,2010 - 2011,Game,$555;111.00,N/A,Production,N/A,Downloadable,1,British Columbia,Innovation,Decision,English,1
Dex and the humanimals I,Productions Humanimals Inc.,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Streaming,N/A,Quebec,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,French,N/A
Stratégies pour exporter le meilleur de la création de Zone3,ZONE3-XXXIV Inc.,2019 - 2020,N/A,$100;000.00,N/A,Development,N/A,N/A,N/A,Montreal,CMF-Quebecor Fund Export Assistance Program Pilot Partnership,Contracted,French,N/A
Dév. et exploitation de propriétés intellectuelles Pixcom,Pixcom International Inc.,2019 - 2020,N/A,$100;000.00,N/A,Development,N/A,N/A,N/A,Montreal,CMF-Quebecor Fund Export Assistance Program Pilot Partnership,Contracted,French,N/A
Exploitation hors Qc des contenus télévisuels de Prod. KOTV,Ko Distribution inc.,2019 - 2020,N/A,$75;000.00,N/A,Development,N/A,N/A,N/A,Montreal,CMF-Quebecor Fund Export Assistance Program Pilot Partnership,Contracted,French,N/A
Mary & Flo on the Go I,Shaftesbury Development Inc.,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,English,N/A
Where Oliver Fits,Portfolio Entertainment Inc.,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Streaming,N/A,Toronto,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,English,N/A
J’animagine I,Maki Media Productions Inc.,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,French,N/A
Super Plex I,Société de télédiffusion du Québec,2019 - 2020,Web Series,$82;489.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,French,N/A
Denis and Me I,Denis & Me Productions I Inc.,2019 - 2020,Web Series,$251;281.00,N/A,Production,Children's & Youth,Streaming,N/A,Toronto,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,English,N/A
Moose! I,Moose Productions (Muse) Inc.,2019 - 2020,Rich Interactive Media,$350;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,Bilingual,N/A
Petite Dragouille (La) I,Happy Camper Média inc,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Streaming,N/A,Quebec,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,Bilingual,N/A
I CAN,Imagine Create Media Incorporated,2019 - 2020,Web Series,$350;000.00,N/A,Production,Children's & Youth,Website,N/A,British Columbia,CMF-Shaw Rocket Fund Kids Digital Animated Series,Contracted,English,N/A
Lustitia International,Lustitia International Inc,2019 - 2020,N/A,$75;000.00,N/A,Development,N/A,N/A,N/A,Montreal,CMF-Quebecor Fund Export Assistance Program Pilot Partnership,Contracted,French,N/A
Nuit blanche I,Productions Pixcom Inc.,2019 - 2020,N/A,$1.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Nuit blanche I,Productions Pixcom Inc.,2019 - 2020,N/A,$117;670.00,N/A,Production,Drama,N/A,N/A,Montreal,CMF-Quebecor Fund Intellectual Properties,Contracted,French,N/A
Pain et des hommes (Du),Pimiento Médias Inc.,2019 - 2020,N/A,$30;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,French,N/A
Guide ultime (Le) I,Pimiento Médias Inc.,2019 - 2020,N/A,$30;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,French,N/A
Plan B III,Productions KOTV VII Inc.,2019 - 2020,N/A,$1.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Plan B III,Productions KOTV VII Inc.,2019 - 2020,N/A,$100;020.00,N/A,Production,Drama,N/A,N/A,Montreal,CMF-Quebecor Fund Intellectual Properties,Contracted,French,N/A
Moka (apprendre les mots) I,Productions Sardine Inc.,2019 - 2020,N/A,$20;000.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,French,N/A
Other Boy (The) I,Marble Media Inc.,2019 - 2020,N/A,$15;117.00,N/A,Development,Drama,N/A,N/A,Toronto,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Brin de Girouette,Productions Sardine Inc.,2019 - 2020,N/A,$20;000.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,French,N/A
Von Braun,Thunderbird Productions Inc.,2019 - 2020,N/A,$19;574.00,N/A,Development,Drama,N/A,N/A,British Columbia,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Heavy Rescue Heroes I,Thunderbird Productions Inc.,2019 - 2020,N/A,$15;240.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Breaking It! I,Blue Ant Studios Canada Inc.,2019 - 2020,N/A,$15;117.00,N/A,Development,Documentary,N/A,N/A,Toronto,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Colour of Ink (The),136469 Canada Limited o/a Sphinx Productions,2019 - 2020,N/A,$15;117.00,N/A,Development,Documentary,N/A,N/A,Toronto,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Legion (Leeds) I,CINEFLIX STUDIOS CANADA INC.,2019 - 2020,N/A,$56;329.00,N/A,Development,Drama,N/A,N/A,Toronto,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
Alice Creed I,CINEFLIX STUDIOS CANADA INC.,2019 - 2020,N/A,$55;915.00,N/A,Development,Drama,N/A,N/A,Toronto,CMF-Distributor Pilot Predevelopment Matching Program,Contracted,English,N/A
