Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Next Step (The) III Interactive,Temple Dance III Productions Limited,2014 - 2015,Game,$100;000.00,N/A,Production,Children's & Youth,Downloadable,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Beaux malaises (Les) II – MN,Productions Les Beaux Malaises inc.,2014 - 2015,Rich Interactive Media,$150;112.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Beaux malaises (Les) II (11-22),Productions Les Beaux Malaises inc.,2014 - 2015,N/A,$1;565;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Objectif Nord – Pilote,GROUPE PVP INC.,2014 - 2015,N/A,$9;516.00,N/A,Versioning,Documentary,N/A,N/A,Quebec,Versioning,Contracted,French,N/A
Chasseur de successions I (1-13),Productions 10e Ave inc.,2014 - 2015,N/A,$10;000.00,N/A,Development,Documentary,N/A,N/A,Quebec,Quebec French Regional Development,Contracted,French,N/A
Remedy II – DM,Remedy Season Two Inc.,2014 - 2015,Video,$47;197.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Ces gars-là! II – MN,Zone3 - A Média I inc,2014 - 2015,Rich Interactive Media,$48;580.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
5 Prochains (Les) II – MN,Les Productions Avanti Ciné Vidéo Inc.,2014 - 2015,Rich Interactive Media,$25;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
5 Prochains (Les) II – MN,Les Productions Avanti Ciné Vidéo Inc.,2014 - 2015,Rich Interactive Media,$51;176.00,,Production,Documentary,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Nom de Code – MN,9248-3650 Québec Inc.,2014 - 2015,Rich Interactive Media,$17;078.00,N/A,Development,Drama,Website,N/A,Montreal,Development Envelopes,Contracted,French,N/A
19-2 III – MN (v.f.),Productions 19-2 Inc.,2014 - 2015,Rich Interactive Media,$75;189.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
19-2 III – MN (v.f.),Productions 19-2 Inc.,2014 - 2015,Rich Interactive Media,$144;316.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Infoman XV – MN,Zone3-V inc.,2014 - 2015,Rich Interactive Media,$41;999.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
