Name,MinProjectSize,Wage,Team-Size,Website,location
Buss house,$1000+,$50 - $99 / hr,Size : 2 - 9,http://busshouse.ca,Toronto  Canada
Inframe Films Inc.,$1000+,$200 - $300 / hr,Size : 2 - 9,https://www.inframefilms.ca/,Vancouver  Canada
Focus On Why Media Inc.,$1000+,$150 - $199 / hr,Size : 2 - 9,https://www.focusonwhymedia.com/,Calgary  Canada
Surf and Stone Studios,$5000+,$50 - $99 / hr,Size : 2 - 9,https://www.surfandstonestudios.com,Victoria  Canada
Dkvisualsx,$1000+,Undisclosed,Size : 2 - 9,https://www.dkvisualsx.com/,Toronto  Canada
Conjured Images,Undisclosed,Undisclosed,Size : 2 - 9,https://conjuredimages.ca,Vancouver  Canada
Eric Peterson Videographer,$1000+,$50 - $99 / hr,Size : Freelancer,https://www.ewpeterson.com,Vancouver  Canada
Advutu,$1000+,Undisclosed,Size : 2 - 9,http://advutu.com,Mississauga  Canada
Maxon Computer Canada Inc.,Undisclosed,Undisclosed,Size : 50 - 249,https://www.maxon.net/en/,Montréal  Canada
Rhombus Media Inc.,Undisclosed,Undisclosed,Size : 10 - 49,http://rhombusmedia.com/,Toronto  Canada
Rodeo Prod Inc.,Undisclosed,Undisclosed,Size : 10 - 49,https://rodeoproduction.com/,Montréal  Canada
Pink Dog Productions Inc.,Undisclosed,Undisclosed,Size : 2 - 9,http://www.pinkdog.ca/,Halifax  Canada
Means of Production,Undisclosed,Undisclosed,Size : 2 - 9,https://meansofproduction.ca/,Vancouver  Canada
Linus Media Group,Undisclosed,Undisclosed,Size : 10 - 49,http://www.linusmediagroup.com/,Surrey  Canada
Ontario Camera,Undisclosed,Undisclosed,Size : 10 - 49,http://ontariocamera.com/,Toronto  Canada
Digital Dream Productions Inc,Undisclosed,Undisclosed,Size : 10 - 49,http://www.digitaldream.com/,Mississauga  Canada
PostPro Media,Undisclosed,Undisclosed,Size : 2 - 9,https://postpromedia.com/,Vancouver  Canada
Vek Labs,$1000+,$200 - $300 / hr,Size : 2 - 9,http://www.veklabs.com,Calgary  Canada
Goldtooth Creative Agency Inc,Undisclosed,Undisclosed,Size : 10 - 49,http://goldtooth.com/,Vancouver  Canada
Modest Tree,Undisclosed,Undisclosed,Size : 10 - 49,https://www.modesttree.com/,Halifax  Canada
v,Undisclosed,Undisclosed,Size : 10 - 49,http://vinc.ca,Calgary  Canada
Angle Media Group,Undisclosed,Undisclosed,Size : 10 - 49,http://www.anglemediagroup.com/,Toronto  Canada
Inspired Image,Undisclosed,Undisclosed,Size : 10 - 49,http://inspiredimage.ca/,Toronto  Canada
Vo2 Mix,Undisclosed,Undisclosed,Size : 10 - 49,http://www.vo2mix.ca/,Toronto  Canada
The Media Concierge,Undisclosed,Undisclosed,Size : 10 - 49,https://www.themediaconcierge.com/,Toronto  Canada
360iam,Undisclosed,Undisclosed,Size : 10 - 49,https://www.360iam.com/,Vaughan  Canada
Big Bambi Productions,$1000+,Undisclosed,Size : 2 - 9,http://bigbambi.ca,Ottawa  Canada
JMorris Media,Undisclosed,Undisclosed,Size : 2 - 9,https://www.jmorrismedia.com/,Hamilton  Canada
Sepian Media,$1000+,$50 - $99 / hr,Size : 2 - 9,http://www.sepianmedia.com,Newmarket  Canada
LPX Digital,Undisclosed,Undisclosed,Size : 10 - 49,http://www.lpxdigital.com,Toronto  Canada
Images made real,Undisclosed,Undisclosed,Size : 10 - 49,http://www.imagesmadereal.com/,Toronto  Canada
Jump Creative Inc.,Undisclosed,Undisclosed,Size : 10 - 49,http://jumpcreative.com,Toronto  Canada
Coco Video Production,Undisclosed,Undisclosed,Size : 10 - 49,https://cocovideoproduction.com/,Mississauga  Canada
Makers,$25000+,$100 - $149 / hr,Size : 10 - 49,http://www.makers.to,Ross  CA
Deep Rock Productions,$5000+,$150 - $199 / hr,Size : 2 - 9,https://www.deeprockproductions.com/,Montréal  Canada
